"family","scientificName","commonName","catalogNumber","catalogCode","country","stateProvince","municipality","locality"
"FABACEAE","Tachigali denudata (Vogel)  Oliveira-Filho*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"GESNERIACEAE","Sinningia allagophylla (Mart.) Wiehler*","batata-de-perdiz",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"IRIDACEAE","Sisyrinchium vaginatum Spreng.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"IRIDACEAE","Trimezia juncifolia Klatt*","ruibarbo-amarelo","41116","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAMIACEAE","Aegiphila lhotskiana Cham.","tamanqueira","41118","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAMIACEAE","Aegiphila verticillata Vell.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAMIACEAE","Vitex polygama Cham.","tarumã-do-cerrado",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAMIACEAE","Vitex sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Cinnamomum  sellowianum  (Nees  &  Mart.) Kosterm.*","canela",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Endlicheria paniculata (Spreng.) J.F.Macbr.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Nectandra  megapotamica (Spreng.) Mez*","canelinha",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Nectandra  oppositifolia Nees","canela-ferrugem",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Ocotea corymbosa  (Meisn.) Mez.","canelinha-do-cerrado",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Ocotea lancifolia (Schott) Mez",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Ocotea nutans (Nees) Mez*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Ocotea odorifera (Vell.)  Rohwer*","canela-de-cheiro",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Ocotea pulchella (Nees & Mart.) Mez","canela-do-cerrado","41165,","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Ocotea tristis (Nees & Mart.) Mez",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Persea alba Nees*",NA,"41111","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"LAURACEAE","Persea willdenovii Kosterm.","abacateiro-do-mato",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LORANTHACEAE","Struthanthus  vulgaris Mart. ex  Eichler*","erva-de-passarinho","41089","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"LYCOPODIACEAE","Lycopodiella camporum B.Øllg. P.G.Windisch*","&",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LYCOPODIACEAE","Lycopodiella cernua (L.) Pic.Serm.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
